Location,Sea level [mm],Date
Helsinki Kaivopuisto,28.333333333333332,1975-07-23
Helsinki Kaivopuisto,-63.166666666666664,1975-07-24
Helsinki Kaivopuisto,42.125,1975-07-25
Helsinki Kaivopuisto,34.458333333333336,1975-07-26
Helsinki Kaivopuisto,72.625,1975-07-27
Helsinki Kaivopuisto,144.0,1975-07-28
Helsinki Kaivopuisto,116.20833333333333,1975-07-29
Helsinki Kaivopuisto,91.375,1975-07-30
Helsinki Kaivopuisto,90.16666666666667,1975-07-31
Helsinki Kaivopuisto,79.33333333333333,1975-08-01
Helsinki Kaivopuisto,125.08333333333333,1975-08-02
Helsinki Kaivopuisto,138.29166666666666,1975-08-03
Helsinki Kaivopuisto,133.66666666666666,1975-08-04
Helsinki Kaivopuisto,94.04166666666667,1975-08-05
Helsinki Kaivopuisto,79.29166666666667,1975-08-06
Helsinki Kaivopuisto,39.208333333333336,1975-08-07
Helsinki Kaivopuisto,31.083333333333332,1975-08-08
Helsinki Kaivopuisto,-18.708333333333332,1975-08-09
Helsinki Kaivopuisto,-30.875,1975-08-10
Helsinki Kaivopuisto,-35.333333333333336,1975-08-11
Helsinki Kaivopuisto,-121.41666666666667,1975-08-12
Helsinki Kaivopuisto,-55.791666666666664,1975-08-13
Helsinki Kaivopuisto,-88.33333333333333,1975-08-14
Helsinki Kaivopuisto,-60.916666666666664,1975-08-15
Helsinki Kaivopuisto,-106.41666666666667,1975-08-16
Helsinki Kaivopuisto,-55.0,1975-08-17
Helsinki Kaivopuisto,-27.5,1975-08-18
Helsinki Kaivopuisto,28.333333333333332,1975-08-19
Helsinki Kaivopuisto,11.291666666666666,1975-08-20
Helsinki Kaivopuisto,-59.125,1975-08-21
Helsinki Kaivopuisto,-59.291666666666664,1975-08-22
Helsinki Kaivopuisto,-15.916666666666666,1975-08-23
Helsinki Kaivopuisto,37.541666666666664,1975-08-24
Helsinki Kaivopuisto,43.291666666666664,1975-08-25
Helsinki Kaivopuisto,50.416666666666664,1975-08-26
Helsinki Kaivopuisto,43.041666666666664,1975-08-27
Helsinki Kaivopuisto,32.583333333333336,1975-08-28
Helsinki Kaivopuisto,4.291666666666667,1975-08-29
Helsinki Kaivopuisto,-15.083333333333334,1975-08-30
Helsinki Kaivopuisto,-43.625,1975-08-31
Helsinki Kaivopuisto,-20.833333333333332,1975-09-01
Helsinki Kaivopuisto,-30.833333333333332,1975-09-02
Helsinki Kaivopuisto,-102.25,1975-09-03
Helsinki Kaivopuisto,-43.375,1975-09-04
Helsinki Kaivopuisto,-4.25,1975-09-05
Helsinki Kaivopuisto,61.041666666666664,1975-09-06
Helsinki Kaivopuisto,19.833333333333332,1975-09-07
Helsinki Kaivopuisto,93.04166666666667,1975-09-08
Helsinki Kaivopuisto,52.333333333333336,1975-09-09
Helsinki Kaivopuisto,-21.208333333333332,1975-09-10
Helsinki Kaivopuisto,-32.125,1975-09-11
Helsinki Kaivopuisto,-21.791666666666668,1975-09-12
Helsinki Kaivopuisto,5.666666666666667,1975-09-13
Helsinki Kaivopuisto,112.25,1975-09-14
Helsinki Kaivopuisto,83.91666666666667,1975-09-15
Helsinki Kaivopuisto,179.20833333333334,1975-09-16
Helsinki Kaivopuisto,185.70833333333334,1975-09-17
Helsinki Kaivopuisto,174.0,1975-09-18
Helsinki Kaivopuisto,151.625,1975-09-19
Helsinki Kaivopuisto,36.75,1975-09-20
Helsinki Kaivopuisto,70.04166666666667,1975-09-21
Helsinki Kaivopuisto,232.54166666666666,1975-09-22
Helsinki Kaivopuisto,312.5833333333333,1975-09-23
Helsinki Kaivopuisto,236.79166666666666,1975-09-24
Helsinki Kaivopuisto,226.16666666666666,1975-09-25
Helsinki Kaivopuisto,175.79166666666666,1975-09-26
Helsinki Kaivopuisto,261.0416666666667,1975-09-27
Helsinki Kaivopuisto,419.0416666666667,1975-09-28
Helsinki Kaivopuisto,425.5,1975-09-29
Helsinki Kaivopuisto,195.875,1975-09-30
Helsinki Kaivopuisto,106.54166666666667,1975-10-01
